user_id,item_id,event_type,timestamp
7657cae9-74d6-4dfc-acc8-d454a76584f9,81,access,1699246997
cd0aa687-42ed-49b8-b702-d999220d6448,77,access,1699333397
02911fd1-a7f1-45e5-a7da-8bcb9482ee70,112,access,1699333397
2cdb79cf-7739-480e-940b-cc11e5258d5b,126,access,1699333397
33b994dc-9bf2-4295-93c5-5f08c2373189,46,access,1699333397
367b9866-5fab-401f-98cd-4908074e5a30,47,access,1699333397
4173c48f-3997-46ed-b6e3-827ebf32d962,24,access,1699333397
106862e6-4962-4d2b-aefd-935048a25eda,116,access,1699333397
945b1eef-9be7-4b70-b5ae-1c41b9120997,21,access,1699419797
d187e347-464f-4b62-8730-10528c56595a,2,access,1699419797
7ef4ae67-8d43-4bb4-82f5-bdedfc68d7d3,78,access,1699419797
fe01731b-ad77-4e96-a575-613e2fdab479,82,access,1699419797
133233b7-6e06-4bf4-b291-4c9b7cb4d161,95,access,1699506197
e15be9c2-e844-462f-9550-34fcb4f196e4,5,access,1699506197
55656cab-601c-48dc-9cc5-2b4598e80e0c,12,access,1699506197
ed65c490-cf3d-4c5e-af91-d8d6f6f7a737,19,access,1699506197
4ca1c24b-5dd9-47f5-bebf-4d4adb84426a,116,access,1699506197
100a43ae-81ef-4352-b791-f850bdb5576d,129,access,1699592597
98f9f32d-94e9-43a6-9ac0-b5003fbf64ab,122,access,1699592597
f9ba0177-d51a-4198-ad96-28da082e02d8,37,access,1699592597
1b44ac2a-02e3-4c8d-8b2c-8a2deb1c0758,17,access,1699592597
5f568474-10d9-44eb-b68b-c3bdecbe5410,85,access,1699592597
e15be9c2-e844-462f-9550-34fcb4f196e4,109,access,1699592597
b8e53faf-bfa5-4054-8ea7-eaa324b6baa6,93,access,1699592597
a4e6fe74-81f6-447f-a1a5-0ced0b25fb55,11,access,1699592597
395ce3d2-8009-4b63-adff-4fb987312849,104,access,1699592597
55455f4e-0a98-4024-8dd8-100d1d972492,73,access,1699678997
f65900c3-4da6-4502-8ddb-baf525e36cbb,10,access,1699678997
05d98089-caea-460d-8bf0-bdff134af0ca,111,access,1699765397
b91c0455-d5a1-4240-8e73-890b7c601b0a,31,access,1699765397
9fa5cdef-87a0-4131-aa45-6b35b0c0308b,117,access,1699765397
a58b58f5-c8d5-4d44-934b-7b15506df3d9,107,access,1699765397
395ce3d2-8009-4b63-adff-4fb987312849,1,access,1699765397
cd0aa687-42ed-49b8-b702-d999220d6448,44,access,1699851797
edf0bed6-0536-4b4a-9dea-49b7faa05498,111,access,1699851797
9fa5cdef-87a0-4131-aa45-6b35b0c0308b,58,access,1699851797
9900e798-b2c8-4482-b593-56cddc61a7a3,133,access,1699851797
022d456d-3448-451d-97ec-3e545d7896f5,90,access,1699851797
f4a863d7-0cc9-40c4-9e0e-2a2a9738a1d4,30,access,1699938197
c1690605-0773-4628-88d4-4d5aba32347c,102,access,1699938197
e9013cd4-e60c-4038-a25a-cb19b029931a,100,access,1699938197
5f568474-10d9-44eb-b68b-c3bdecbe5410,30,access,1700024597
f1f18c31-3891-45be-b9ce-bfb405e690ef,57,access,1700024597
a172daeb-bbdb-48a5-a4db-b5e6015e862a,39,access,1700110997
cd0aa687-42ed-49b8-b702-d999220d6448,81,access,1700110997
cfd9ebf8-0308-40c3-aad7-689fe11dd780,58,access,1700110997
31a2f1f4-ba14-4b48-949d-00064f64ca4a,19,access,1700110997
727f70f1-6993-4194-8404-a61494686f19,98,access,1700110997
945b1eef-9be7-4b70-b5ae-1c41b9120997,18,access,1700197397
b5cd4f54-9dec-481e-91f1-466c59577b66,15,access,1700197397
908301bc-b481-4763-bdc1-e0613dfea34f,117,access,1700197397
d2af99e4-58f4-4366-855f-8e50b8f6c4da,90,access,1700283797
2cdb79cf-7739-480e-940b-cc11e5258d5b,35,access,1700283797
24362b61-f232-44f6-81dd-1514d577ef64,70,access,1700283797
e6e91b4b-cf82-46fa-af09-3d51b3b9f86d,27,access,1700283797
e0f68e41-1a73-4500-82ce-14cc31ced683,39,access,1700370197
b8e53faf-bfa5-4054-8ea7-eaa324b6baa6,102,access,1700370197
fe01731b-ad77-4e96-a575-613e2fdab479,43,access,1700370197
cea7cd84-51f8-4e69-8168-e5bc0c90c704,101,access,1700370197
4c4e8e4f-8525-4b79-b873-edbb1097bfea,10,access,1700370197
99eb7f54-9d4b-4be4-b745-c9a070236ed6,39,access,1700370197
ebf9125f-e050-42ef-a3d9-7832875463c0,1,access,1700456597
24362b61-f232-44f6-81dd-1514d577ef64,25,access,1700456597
99eb7f54-9d4b-4be4-b745-c9a070236ed6,51,access,1700456597
9900e798-b2c8-4482-b593-56cddc61a7a3,47,access,1700542997
7723fe9e-44a7-4062-906e-8cbc1ca85db5,132,access,1700542997
4173c48f-3997-46ed-b6e3-827ebf32d962,91,access,1700542997
99eb7f54-9d4b-4be4-b745-c9a070236ed6,99,access,1700542997
ebf9125f-e050-42ef-a3d9-7832875463c0,116,access,1700629397
1d93a59b-20da-459a-9a8a-9b4cbc3e9170,46,access,1700629397
578874e7-e5c0-48d7-873f-3c730961ed42,59,access,1700629397
